11.05,1.83,0.7718,,
1.34,1.83,0.749,,
0.01,0.64,0.749,,
9.55,1.74,0.5453,,
13.45,2 ,0.4183,,
7.48,1.51,0.3973,,
12.57,1.85,0.3807,,
8.44,-0.03,0.3804,,
10.46,1.72,0.3411,,
12.29,1.9,0.3156,,
3.73,0.88,0.3056,,
11.12,1.75,0.3011,,
12.66,1.98,0.2943,,
8.08,1.56,0.2895,,
11.06,1.79,0.2895,,
4.69,1.06,0.2889,,
6.03,1.37,0.2887,,
5.21,1.18,0.2887,,
8.9,1.52,0.2861,,
9.71,1.59,0.2861,,
3.49,0.72,0.286,,
0.38,0.42,0.2858,,
7.34,1.49,0.2843,,
14.81,2.06,0.2758,,
12.05,1.84,0.2674,,
9.85,1.56,0.2644,,
6.67,1.41,0.2586,,
8.85,1.55,0.2583,,
9.85,1.62,0.2519,,
11.3,1.8,0.2519,,
10.08,1.58,0.2447,,
11.13,1.71,0.2421,,
13.04,1.83,0.2322,,
12.38,0.55,0.2309,,
12.28,1.8,0.2238,,
13.92,1.82,0.2228,,
8.54,1.46,0.2218,,
15.6,2.1,0.221,,
9.37,1.53,0.2197,,
11.5,0.19,0.2185,,
8.67,1.47,0.215,,
6.59,1.36,0.2132,,
13.75,1.98,0.2128,,
9.18,1.5,0.2127,,
13.41,1.9,0.212,,
14.01,1.98,0.212,,
10.95,1.65,0.2116,,
10.17,1.58,0.2113,,
4.43,0.82,0.2071,,
9.52,0.03,0.2071,,
11.17,1.67,0.2071,,
9.4,1.54,0.2039,,
0.77,0.22,0.201,,
6,1.15,0.199,,
4.21,0.86,0.199,,
10.26,1.61,0.197,,
10.8,1.6,0.1915,,
14.92,1.93,0.1913,,
14.06,1.84,0.1913,,
8.74,1.54,0.1888,,
14.4,2.09,0.1888,,
12.03,1.72,0.1887,,
5.07,0.85,0.1876,,
5.11,0.86,0.1876,,
11.33,1.68,0.1863,,
8.46,1.44,0.184,,
6.33,1.16,0.182,,
11.08,1.65,0.1819,,
12.44,0.31,0.1819,,
4.68,0.79,0.1782,,
8.98,1.48,0.1779,,
5.32,0.87,0.1771,,
9.11,1.5,0.1767,,
17.52,2.2,0.1767,,
12.23,1.68,0.1757,,
3.56,0.76,0.1752,,
8.14,1.5,0.1749,,
8,1.5,0.1742,,
5.75,1.1,0.1742,,
10.01,1.57,0.1736,,
7.96,1.47,0.1723,,
11.8,1.69,0.1719,,
12.1,1.6,0.17,,
7.51,1.39,0.1684,,
3.45,0.57,0.1684,,
11.53,1.62,0.1665,,
10.75,1.65,0.1655,,
9.31,1.52,0.1651,,
11.49,1.71,0.1646,,
7.97,1.43,0.1639,,
14.15,0.4,0.1628,,
7.71,1.42,0.1625,,
7.62,1.39,0.1625,,
11.2,1.6,0.1611,,
4.26,0.71,0.1596,,
9.96,1.49,0.1595,,
10.12,1.61,0.1593,,
11.31,1.64,0.159,,
10.56,1.6,0.1579,,
2.8,0.62,0.1554,,
14.45,1.05,0.1548,,
16.78,1.99,0.1539,,
9.69,1.57,0.1539,,
1.16,0.09,0.1537,,
13.81,1.88,0.1529,,
10.38,1.54,0.1519,,
12.4,1.65,0.1519,,
4.7,0.73,0.1491,,
6.97,1.16,0.1491,,
5.9,0.8,0.1489,,
5.8,0.86,0.1489,,
8.67,1.5,0.1482,,
12.83,1.77,0.148,,
10.3,1.63,0.1478,,
5.85,0.27,0.1475,,
5.56,1.01,0.1464,,
11.65,1.67,0.1451,,
14.08,0.66,0.1447,,
10.02,1.54,0.1446,,
10.24,1.57,0.14,,
6.29,1.04,0.14,,
4.22,0.58,0.139,,
9.05,1.5,0.1387,,
14.69,1.96,0.1386,,
13.48,1.83,0.1373,,
9.64,1.52,0.1362,,
5.74,0.88,0.1359,,
11,0,0.1345,,
5.17,0.69,0.1345,,
13.25,1.84,0.1341,,
8.55,1.48,0.1335,,
3.19,0.45,0.1331,,
13.63,1.79,0.1327,,
3.57,0.49,0.1326,,
11.71,1.6,0.1322,,
8.69,1.41,0.1319,,
5.53,0.77,0.1319,,
11.8,1.48,0.1318,,
10.28,1.48,0.1317,,
4.33,0.59,0.1305,,
12.4,1.71,0.1302,,
14.15,1.79,0.13,,
10.6,1.57,0.13,,
8.46,1.41,0.1296,,
11.66,1.6,0.1294,,
5.82,0.98,0.1294,,
7.53,1.36,0.1289,,
9.62,1.53,0.1289,,
14.83,1.93,0.1289,,
7.88,1.39,0.1284,,
13.05,0.07,0.1282,,
6.48,1.1,0.1281,,
5.22,0.84,0.1265,,
9.38,1.52,0.1259,,
10.57,1.56,0.1256,,
12.05,1.67,0.1256,,
14.1,0.6,0.1251,,
3.58,0.47,0.1249,,
6.13,0.94,0.1249,,
15.65,1.9,0.1242,,
12,1.63,0.1235,,
9.73,1.51,0.1235,,
12.57,1.6,0.123,,
13.4,1.75,0.1228,,
10.99,1.57,0.1228,,
11.86,1.7,0.1226,,
14.65,0.95,0.1222,,
13.25,1.84,0.1218,,
13.41,1.76,0.1213,,
10.67,1.54,0.1211,,
9.8,1.54,0.1209,,
10.56,1.56,0.1204,,
6.03,0.87,0.1204,,
13.06,1.76,0.12,,
10.4,1.49,0.1199,,
4.26,0.57,0.1198,,
10.36,1.53,0.119,,
13.73,1.77,0.1182,,
15.79,1.98,0.1182,,
13.8,1.82,0.1181,,
10.19,1.51,0.118,,
10.63,1.57,0.1173,,
11.5,1.66,0.1169,,
9.27,1.48,0.1167,,
10.9,1.64,0.1162,,
5.33,0.72,0.116,,
6.45,0.75,0.116,,
11.38,1.57,0.1156,,
4.22,0.49,0.1155,,
10.04,1.46,0.1155,,
11.45,1.6,0.1154,,
9.1,1.51,0.1154,,
10.35,1.49,0.1151,,
3.42,0.75,0.1151,,
4.27,0.59,0.1147,,
10.37,1.51,0.1144,,
13.05,1.65,0.1142,,
5.08,0.72,0.1141,,
10.1,1.53,0.114,,
9.31,1.41,0.114,,
10.93,1.54,0.1138,,
13.5,1.68,0.1138,,
9.56,1.5,0.1126,,
11.88,0.22,0.1123,,
10.76,1.58,0.1122,,
10.75,1.58,0.1122,,
4.74,0.71,0.1121,,
11.28,1.6,0.1121,,
12.01,1.63,0.112,,
16.42,1.83,0.112,,
15.61,2.02,0.112,,
13,0.24,0.112,,
10.92,1.57,0.1116,,
11.87,1.6,0.111,,
13.66,1.68,0.1109,,
6.22,1.06,0.1107,,
13.3,1.84,0.1091,,
6.59,1.05,0.1089,,
10.09,1.5,0.1089,,
5.73,0.88,0.1088,,
10.11,1.53,0.1088,,
10.32,1.5,0.1085,,
10.81,1.53,0.1079,,
14.47,1.87,0.1078,,
14.04,1.79,0.1076,,
9.98,1.52,0.1074,,
7.07,0.99,0.1074,,
8.81,1.42,0.1069,,
13.56,1.75,0.1052,,
13.77,0.33,0.1051,,
9.65,1.5,0.105,,
10.5,1.51,0.105,,
12.79,1.7,0.1049,,
6.66,1.03,0.1049,,
2.68,0.58,0.1047,,
10.08,1.44,0.1047,,
12.68,1.61,0.1046,,
4.82,0.68,0.1045,,
12.28,1.6,0.1044,,
12.84,1.63,0.1042,,
3.53,0.92,0.1035,,
7.64,1.18,0.1032,,
8.11,1.37,0.1032,,
4.4,0.59,0.1031,,
8.94,1.48,0.103,,
12.96,1.7,0.1024,,
13.02,1.66,0.1024,,
10.44,1.53,0.1021,,
6.98,1.15,0.1019,,
9.04,1.42,0.1019,,
10.47,1.53,0.1017,,
5.98,0.81,0.1017,,
13.43,1.72,0.1016,,
11.98,1.52,0.1013,,
14.53,0.62,0.1008,,
10.58,1.46,0.1008,,
10.38,1.54,0.1006,,
1.14,1,0.1003,,
15.05,1.93,0.1002,,
14.46,1.87,0.1,,
12.48,1.64,0.0997,,
12.56,1.63,0.0994,,
9.5,1.48,0.0994,,
11.1,1.51,0.0994,,
9.63,1.49,0.0991,,
2.91,0.65,0.099,,
9.18,1.48,0.0989,,
10.67,1.52,0.0988,,
12.12,1.63,0.0988,,
3.61,0.55,0.0988,,
12.28,0.06,0.0988,,
3.46,0.36,0.0987,,
8.61,1.4,0.0985,,
11.71,1.59,0.0984,,
13.38,1.71,0.0984,,
9,1.43,0.0983,,
14.4,1.9,0.0981,,
10.5,1.51,0.0981,,
13.4,1.7,0.0981,,
4.87,0.61,0.0981,,
10.75,1.53,0.0976,,
5.63,0.81,0.0972,,
4.9,0.66,0.0971,,
11.01,1.24,0.097,,
15.32,0.93,0.097,,
13.85,0.34,0.0967,,
14.85,1.88,0.0967,,
13.32,1.72,0.0966,,
6.4,0.98,0.0965,,
12.98,1.68,0.0962,,
12.77,1.69,0.0961,,
13.91,1.73,0.0959,,
6.56,0.93,0.0959,,
13.57,1.73,0.0958,,
10.2,1.48,0.0956,,
10.73,1.48,0.0955,,
9.7,1.46,0.0951,,
5.85,0.85,0.0951,,
5.75,0.82,0.0951,,
9.22,1.46,0.0946,,
11.52,1.54,0.0943,,
10.36,1.5,0.094,,
12.19,1.61,0.0939,,
5.54,0.64,0.0936,,
13.52,1.85,0.0936,,
11.42,1.55,0.0933,,
12.97,1.64,0.0933,,
12.91,1.72,0.0931,,
11.72,1.51,0.0928,,
4.05,0.6,0.0924,,
4.91,0.55,0.0924,,
10.83,1.57,0.0924,,
17.14,2.16,0.0919,,
10.87,1.5,0.0917,,
10.11,1.51,0.0916,,
11.06,1.54,0.0915,,
12.35,1.69,0.0915,,
-0.1,1.2,0.0912,,
12.9,1.59,0.0911,,
7.5,1.26,0.0909,,
9.6,1.48,0.0909,,
11.43,1.5,0.0908,,
15.37,1.94,0.0907,,
14.36,0.42,0.0907,,
10.3,1.5,0.0906,,
9.83,1.51,0.0905,,
14.55,0.48,0.0905,,
11.19,1.39,0.0903,,
11.22,1.52,0.09,,
9.75,1.47,0.0899,,
11.48,1.61,0.0899,,
10.98,1.47,0.0897,,
15.53,1.95,0.0894,,
6.12,0.82,0.0894,,
13.69,1.7,0.0893,,
9.85,1.48,0.0891,,
11.9,1.52,0.0891,,
7.17,0.93,0.089,,
7.73,1.16,0.0887,,
6.4,0.87,0.0887,,
11.98,1.56,0.0887,,
7.2,1,0.0886,,
6,0.67,0.0886,,
10.11,1.53,0.0886,,
11.3,1.53,0.0885,,
8.7,1.39,0.0884,,
10.72,1.49,0.0883,,
8.6,1.41,0.0883,,
11.87,1.58,0.088,,
13.53,1.77,0.088,,
4.71,0.52,0.0878,,
5.24,0.6,0.0875,,
8.85,1.39,0.0872,,
11.15,1.46,0.0871,,
8.97,1.44,0.087,,
9.93,1.49,0.087,,
9.02,1.45,0.087,,
5.41,0.77,0.087,,
6.02,0.84,0.0869,,
9.41,1.49,0.0868,,
10.06,1.44,0.0867,,
14.63,0.99,0.0865,,
13.56,1.71,0.0865,,
12.58,1.66,0.0863,,
8.8,1.4,0.0861,,
9.75,1.48,0.0861,,
13.7,0.28,0.0861,,
11.8,1.5,0.086,,
14.57,0.44,0.0856,,
8.27,1.35,0.0854,,
14.37,1.67,0.0854,,
10.77,1.53,0.0854,,
8.6,1.31,0.0853,,
12.05,1.6,0.0853,,
13.68,1.78,0.0851,,
7.61,1.12,0.0851,,
5.19,0.65,0.0851,,
11.4,0.05,0.0849,,
14.73,0.62,0.0849,,
9.75,0.33,0.0849,,
10.04,1.48,0.0848,,
13.71,1.69,0.0845,,
14.85,1.72,0.0842,,
3.85,0.48,0.0841,,
6.59,0.94,0.084,,
4.43,0.6,0.0839,,
12.83,1.64,0.0839,,
10.9,1.54,0.0838,,
11.92,1.57,0.0838,,
11.32,1.52,0.0838,,
13.69,1.68,0.0838,,
12.67,1.65,0.0837,,
6.81,0.85,0.0837,,
8.9,1.41,0.0837,,
14.85,1.77,0.0835,,
15.65,1.1,0.0834,,
15.32,1.96,0.0834,,
14.31,0.32,0.0833,,
5.2,0.6,0.0833,,
13.31,1.51,0.0833,,
